Phase: Liftoff | Altitude: 64.75 m | Velocity: 21.58 m/s | Fuel: 600.00 kg | Thrust: 0.00 N
Phase: Liftoff | Altitude: 94.4311 m | Velocity: 26.9793 m/s | Fuel: 500 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 129.502 m | Velocity: 32.3735 m/s | Fuel: 400 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 169.965 m | Velocity: 37.7667 m/s | Fuel: 300 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 215.82 m | Velocity: 43.1588 m/s | Fuel: 200 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 267.065 m | Velocity: 48.5496 m/s | Fuel: 100 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 323.699 m | Velocity: 53.939 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 362.915 m | Velocity: 44.1238 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 392.32 m | Velocity: 34.3114 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 411.916 m | Velocity: 24.5014 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 421.705 m | Velocity: 14.6929 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 421.687 m | Velocity: 4.88567 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 411.863 m | Velocity: -4.92105 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 392.232 m | Velocity: -14.7278 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 362.793 m | Velocity: -24.5351 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 323.545 m | Velocity: -34.3435 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 274.487 m | Velocity: -44.1536 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 215.614 m | Velocity: -53.966 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 146.925 m | Velocity: -63.7814 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 68.4156 m | Velocity: -73.6003 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -19.9194 m | Velocity: -83.4234 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -118.085 m | Velocity: -93.2514 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -226.087 m | Velocity: -103.085 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -343.932 m | Velocity: -112.925 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -471.628 m | Velocity: -122.772 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -609.184 m | Velocity: -132.628 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Pre-Launch | Altitude: 8.09459 m | Velocity: 5.39639 m/s | Fuel: 900 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 21.5854 m | Velocity: 10.7927 m/s | Fuel: 800 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 40.4722 m | Velocity: 16.1887 m/s | Fuel: 700 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 64.7543 m | Velocity: 21.5843 m/s | Fuel: 600 kg | Thrust: 0 N
Phase: Pre-Launch | Altitude: 8.09459 m | Velocity: 5.39639 m/s | Fuel: 900 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 21.5854 m | Velocity: 10.7927 m/s | Fuel: 800 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 40.4722 m | Velocity: 16.1887 m/s | Fuel: 700 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 64.7543 m | Velocity: 21.5843 m/s | Fuel: 600 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 94.4311 m | Velocity: 26.9793 m/s | Fuel: 500 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 129.502 m | Velocity: 32.3735 m/s | Fuel: 400 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 169.965 m | Velocity: 37.7667 m/s | Fuel: 300 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 215.82 m | Velocity: 43.1588 m/s | Fuel: 200 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 267.065 m | Velocity: 48.5496 m/s | Fuel: 100 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 323.699 m | Velocity: 53.939 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 362.915 m | Velocity: 44.1238 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 392.32 m | Velocity: 34.3114 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 411.916 m | Velocity: 24.5014 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 421.705 m | Velocity: 14.6929 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 421.687 m | Velocity: 4.88567 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 411.863 m | Velocity: -4.92105 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 392.232 m | Velocity: -14.7278 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 362.793 m | Velocity: -24.5351 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 323.545 m | Velocity: -34.3435 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 274.487 m | Velocity: -44.1536 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 215.614 m | Velocity: -53.966 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 146.925 m | Velocity: -63.7814 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 68.4156 m | Velocity: -73.6003 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -19.9194 m | Velocity: -83.4234 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -118.085 m | Velocity: -93.2514 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -226.087 m | Velocity: -103.085 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -343.932 m | Velocity: -112.925 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -471.628 m | Velocity: -122.772 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -609.184 m | Velocity: -132.628 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -756.608 m | Velocity: -142.492 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -913.913 m | Velocity: -152.367 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -1081.11 m | Velocity: -162.253 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -1258.21 m | Velocity: -172.151 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -1445.23 m | Velocity: -182.063 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -1642.18 m | Velocity: -191.99 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -1849.09 m | Velocity: -201.934 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -2065.96 m | Velocity: -211.896 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -2292.83 m | Velocity: -221.878 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -2529.72 m | Velocity: -231.882 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -2776.64 m | Velocity: -241.91 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -3033.63 m | Velocity: -251.965 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -3300.73 m | Velocity: -262.05 m/s | Fuel: 0 kg | Thrust: 0 N
Phase: Liftoff | Altitude: -3577.95 m | Velocity: -272.167 m/s | Fuel: 0 kg | Thrust: 0 N
